ST_LEAID,MEMBER
OK-37-I002,171
OK-25-I005,160
OK-68-I003,1292
OK-36-I071,4612
OK-06-I080,250
OK-72-I009,14890
OK-12-I001,307
OK-07-I048,847
OK-07-I001,1157
OK-59-I006,1614
OK-36-I045,1121
OK-14-I070,1174
OK-14-I029,15786
OK-36-I125,743
OK-14-I040,3035
OK-48-I014,275
OK-48-I006,484
OK-48-I071,225
OK-48-I005,1227
OK-48-I013,171
OK-32-I048,191
OK-30-I004,267
OK-32-I056,143
OK-49-I001,1185
OK-49-I064,55
OK-76-I001,1039
OK-02-I046,405
OK-02-I093,276
OK-24-I042,1118
OK-44-I001,368
OK-72-I004,7800
OK-52-I002,59
OK-37-I016,843
OK-33-I040,196
OK-40-I017,319
OK-40-I003,887
OK-40-I020,730
OK-61-I011,301
OK-19-I018,951
OK-55-I004,5816
OK-55-I053,1185
OK-55-I009,1139
OK-18-I020,202
OK-18-I065,1321
OK-11-I035,3607
OK-55-I037,1108
OK-55-I041,2858
OK-61-I028,334
OK-40-I052,511
OK-24-I094,248
OK-55-I006,7636
OK-42-I003,224
OK-54-I026,725
OK-22-I005,296
OK-33-I054,199
OK-29-I066,492
OK-33-I014,150
OK-33-I001,439
OK-60-I003,444
OK-60-I016,6146
OK-63-I010,1208
OK-46-I032,820
OK-66-I001,3944
OK-66-I007,425
OK-66-I005,1327
OK-63-I117,270
OK-67-I003,231
OK-67-I001,1457
OK-67-I007,332
OK-10-I055,491
OK-71-I249,230
OK-71-I158,810
OK-71-I008,224
OK-08-I020,1427
OK-08-I168,290
OK-08-I167,276
OK-63-I003,1207
OK-63-I005,263
OK-63-I092,1968
OK-63-I093,3332
OK-63-I002,765
OK-63-I115,136
OK-20-I007,465
OK-22-I010,107
OK-31-I037,237
OK-31-I013,159
OK-66-I002,1817
OK-62-I016,1784
OK-62-I009,579
OK-62-I019,2657
OK-62-I024,889
OK-24-I047,422
OK-24-I001,385
OK-66-I004,1740
OK-72-I011,9802
OK-66-I006,1299
OK-08-I012,187
OK-24-I057,7743
OK-24-I056,466
OK-57-I011,209
OK-36-I087,854
OK-11-I016,550
OK-40-I067,690
OK-40-I002,1063
OK-40-I049,502
OK-62-I030,452
OK-10-I077,1370
OK-10-I027,1554
OK-55-I088,1747
OK-55-I089,33245
OK-55-I001,18905
OK-10-I032,1447
OK-43-I005,305
OK-58-I014,607
OK-58-I001,740
OK-70-I060,218
OK-04-I128,405
OK-70-I008,2982
OK-70-I061,226
OK-70-I001,117
OK-59-I001,633
OK-38-I003,268
OK-21-I005,160
OK-21-I001,1595
OK-21-I004,756
OK-21-I003,791
OK-09-I069,13494
OK-09-I022,5056
OK-09-I057,302
OK-62-I037,277
OK-50-I001,1490
OK-17-I333,201
OK-17-I101,184
OK-34-I023,456
OK-56-I008,496
OK-51-I002,711
OK-56-I003,945
OK-19-I005,596
OK-56-I005,641
OK-27-I090,319
OK-23-I002,222
OK-20-I099,2080
OK-49-I027,222
OK-51-I003,1795
OK-51-I029,2033
OK-51-I020,4819
OK-51-I074,814
OK-58-I031,574
OK-58-I023,2201
OK-51-I046,109
OK-69-I002,899
OK-49-I019,1452
OK-51-I088,425
OK-52-I001,1015
OK-75-I011,396
OK-65-I066,282
OK-08-I011,487
OK-05-I006,2108
OK-20-I005,474
OK-65-I003,217
OK-38-I001,726
OK-15-I002,219
OK-62-I001,449
OK-19-I020,273
OK-55-I052,12584
OK-14-I002,24632
OK-14-I057,996
OK-31-I043,409
OK-31-I020,1187
OK-65-I006,124
OK-65-I007,307
OK-28-I001,644
OK-05-I031,694
OK-05-I051,209
OK-65-I015,122
OK-05-I002,821
OK-51-I008,704
OK-51-I006,307
OK-72-I006,3111
OK-19-I021,369
OK-56-I004,1073
OK-56-I002,1072
OK-56-I001,1185
OK-56-I006,246
OK-16-I001,2101
OK-16-I004,343
OK-16-I002,191
OK-47-I010,449
OK-47-I015,1453
OK-47-I005,1197
OK-20-I026,2388
OK-24-I018,289
OK-27-I054,317
OK-27-I095,117
OK-63-I004,251
OK-39-I003,237
OK-39-I001,885
OK-60-I067,1699
OK-41-I105,216
OK-41-I003,375
OK-63-I001,1667
OK-35-I020,832
OK-26-I099,354
OK-26-I128,415
OK-26-I095,1812
OK-47-I001,2578
OK-75-I078,599
OK-08-I033,550
OK-75-I010,493
OK-72-I005,12654
OK-19-I031,835
OK-19-I003,1517
OK-19-I017,242
OK-19-I033,3718
OK-72-I001,33871
OK-21-I002,2528
OK-74-I007,1232
OK-34-I001,226
OK-26-I097,1974
OK-41-I004,514
OK-47-I029,2240
OK-67-I006,257
OK-67-I004,544
OK-67-I014,403
OK-08-I056,517
OK-16-I009,469
OK-08-I086,125
OK-08-I161,736
OK-26-I002,563
OK-10-I074,173
OK-10-I019,2591
OK-10-I021,234
OK-69-I015,465
OK-47-I002,717
OK-26-I068,482
OK-57-I029,435
OK-57-I050,297
OK-72-I008,1081
OK-72-I002,5178
OK-06-I105,348
OK-48-I074,1583
OK-48-I011,930
OK-48-I039,472
OK-03-I015,868
OK-64-I010,213
OK-15-I001,700
OK-03-C021,219
OK-61-I063,162
OK-03-I019,483
OK-35-I037,201
OK-07-I002,500
OK-77-I005,138
OK-77-I001,2508
OK-76-I003,223
OK-77-I002,586
OK-22-I008,439
OK-23-I003,162
OK-77-I003,205
OK-35-I029,190
OK-35-I035,207
OK-12-I002,303
OK-12-I039,1219
OK-73-I365,552
OK-28-I003,236
OK-38-I002,109
OK-01-I025,1394
OK-72-I003,20115
OK-01-I004,224
OK-01-I011,971
OK-19-I002,1661
OK-72-I013,2843
OK-63-I112,278
OK-07-I040,294
OK-07-I004,809
OK-07-I005,504
OK-07-I003,309
OK-07-I072,3854
OK-24-I085,384
OK-37-I003,215
OK-32-I001,256
OK-32-I054,205
OK-26-I056,304
OK-25-I018,1396
OK-25-I009,1164
OK-25-I007,324
OK-25-I002,632
OK-09-I076,275
OK-37-I105,433
OK-09-I034,2908
OK-09-I027,9449
OK-69-I034,419
OK-26-I001,2306
OK-26-I051,459
OK-53-I040,751
OK-61-I001,708
OK-40-I016,235
OK-69-I001,3361
OK-25-I072,507
OK-43-I016,1127
OK-10-I043,473
OK-43-I004,299
OK-41-I103,1070
OK-60-I056,1577
OK-41-I134,325
OK-55-I007,2206
OK-41-I054,832
OK-39-I002,304
OK-58-I018,883
OK-42-I001,3465
OK-42-I002,589
OK-55-I012,26190
OK-37-I089,725
OK-52-I004,342
OK-06-I042,733
OK-68-I007,473
OK-68-I005,945
OK-68-I002,817
OK-68-I006,527
OK-68-I004,346
OK-68-I001,1825
OK-67-I010,219
OK-67-I002,668
OK-32-I035,979
OK-01-I030,199
OK-03-I007,248
OK-03-I026,253
OK-46-I001,2863
OK-46-I016,766
OK-46-I002,1041
OK-64-I013,965
OK-75-I001,293
OK-72-I010,1150
OR-00000000002193,184
OR-00000000002116,946
OR-00000000002137,1223
OR-00000000002251,1108
OR-00000000002099,776
OR-00000000002143,2089
OR-00000000002225,224
OR-00000000002239,18920
OR-00000000002262,454
OR-00000000003997,134
OR-00000000004131,2841
OR-00000000001968,528
OR-00000000002063,12
OR-00000000002113,275
OR-00000000002100,9060
OR-00000000001899,509
OR-00000000002252,765
OR-00000000002111,125
OR-00000000002005,150
OR-00000000002115,17
OR-00000000002041,2568
OR-00000000002051,5
OR-00000000001933,1799
OR-00000000002208,557
OR-00000000001894,4453
OR-00000000001896,27
OR-00000000001969,670
OR-00000000002240,1062
OR-00000000002243,38706
OR-00000000001976,17360
OR-00000000002088,5101
OR-00000000002095,406
OR-00000000002052,22
OR-00000000001974,1398
OR-00000000002014,742
OR-00000000002046,196
OR-00000000001995,214
OR-00000000001929,4245
OR-00000000002139,2687
OR-00000000002185,5515
OR-00000000002191,3201
OR-00000000002105,539
OR-00000000002042,4861
OR-00000000001945,689
OR-00000000001946,845
OR-00000000001927,620
OR-00000000002006,122
OR-00000000001964,1228
OR-00000000002186,1056
OR-00000000001901,6363
OR-00000000002216,298
OR-00000000001965,3082
OR-00000000002086,1135
OR-00000000001970,3272
OR-00000000002089,274
OR-00000000002050,670
OR-00000000002190,3030
OR-00000000002187,8708
OR-00000000001993,236
OR-00000000002253,873
OR-00000000002011,59
OR-00000000001996,346
OR-00000000002229,329
OR-00000000002043,4242
OR-00000000002203,311
OR-00000000002217,405
OR-00000000001998,235
OR-00000000001930,3094
OR-00000000002082,16583
OR-00000000002084,1429
OR-00000000002221,421
OR-00000000002096,1247
OR-00000000002241,5778
OR-00000000002248,1778
OR-00000000002245,483
OR-00000000001931,1677
OR-00000000002000,291
OR-00000000001992,691
OR-00000000001972,433
OR-00000000002054,5725
OR-00000000002183,11429
OR-00000000002114,218
OR-00000000002201,145
OR-00000000002206,5466
OR-00000000002024,3829
OR-00000000001895,81
OR-00000000002215,301
OR-00000000002140,760
OR-00000000002053,2826
OR-00000000001934,117
OR-00000000002008,470
OR-00000000002107,62
OR-00000000002219,266
OR-00000000002055,4532
OR-00000000002091,1681
OR-00000000002057,7081
OR-00000000002056,2721
OR-00000000002212,2145
OR-00000000001923,6867
OR-00000000002059,752
OR-00000000002101,4056
OR-00000000002097,5122
OR-00000000002012,26
OR-00000000002092,1066
OR-00000000002085,147
OR-00000000002094,839
OR-00000000002090,174
OR-00000000002256,6510
OR-00000000002048,13866
OR-00000000002104,2617
OR-00000000002205,1629
OR-00000000002249,1027
OR-00000000001925,2572
OR-00000000001898,381
OR-00000000002010,61
OR-00000000002147,2318
OR-00000000002145,670
OR-00000000002198,742
OR-00000000002199,512
OR-00000000002254,4206
OR-00000000001966,3452
OR-00000000001924,16778
OR-00000000002141,1679
OR-00000000002214,275
OR-00000000002110,1321
OR-00000000001990,628
OR-00000000002093,513
OR-00000000002108,2281
OR-00000000001928,7296
OR-00000000002060,206
OR-00000000002181,2849
OR-00000000002207,3013
OR-00000000002192,318
OR-00000000001900,1603
OR-00000000002039,2269
OR-00000000002202,298
OR-00000000001897,197
OR-00000000002047,25
OR-00000000002081,1002
OR-00000000002062,8
OR-00000000001973,226
OR-00000000002180,44740
OR-00000000001967,127
OR-00000000002009,1089
OR-00000000002045,226
OR-00000000001977,7081
OR-00000000002001,606
OR-00000000002182,9868
OR-00000000001999,344
OR-00000000002188,596
OR-00000000002044,1079
OR-00000000001991,5753
OR-00000000002142,39400
OR-00000000001926,4358
OR-00000000001944,2223
OR-00000000002103,1688
OR-00000000001935,1488
OR-00000000002257,947
OR-00000000002195,286
OR-00000000002244,4915
OR-00000000002061,230
OR-00000000002138,3661
OR-00000000001978,1144
OR-00000000002087,2773
OR-00000000001994,1473
OR-00000000002247,65
OR-00000000002083,9664
OR-00000000001948,2829
OR-00000000002144,289
OR-00000000002209,525
OR-00000000002003,1362
OR-00000000002102,2337
OR-00000000002242,11656
OR-00000000002197,2090
OR-00000000002222,4
OR-00000000002210,22
OR-00000000002204,1423
OR-00000000002213,385
OR-00000000001947,581
OR-00000000002220,192
OR-00000000001936,983
OR-00000000001922,9094
OR-00000000002255,887
OR-00000000002002,1381
OR-00000000002146,5264
OR-00000000001997,255
SD-25004,1033
SD-54007,222
SD-48003,351
SD-61001,352
SD-19004,544
SD-45004,476
SD-06006,597
SD-56006,232
SD-41005,2361
SD-54002,979
SD-43007,434
SD-39005,157
SD-62005,183
SD-06001,4326
SD-30001,396
SD-38001,303
SD-21001,219
SD-55005,210
SD-04001,224
SD-49001,608
SD-09001,1329
SD-03001,490
SD-61002,708
SD-25001,85
SD-52001,134
SD-04002,589
SD-26005,81
SD-22001,116
SD-49002,4948
SD-05001,3431
SD-31001,224
SD-26002,237
SD-41001,874
SD-28001,334
SD-60001,290
SD-07001,851
SD-39001,576
SD-12002,482
SD-50005,296
SD-59003,170
SD-16001,911
SD-49003,982
SD-51001,2750
SD-64002,405
SD-37003,184
SD-23001,147
SD-16002,11
SD-61007,688
SD-05003,441
SD-06002,171
SD-30003,333
SD-28002,274
SD-17001,283
SD-44001,163
SD-46002,184
SD-24004,386
SD-50003,694
SD-14001,308
SD-57001,416
SD-33001,404
SD-63001,289
SD-26004,431
SD-27001,318
SD-28003,870
SD-41002,5912
SD-14002,195
SD-10001,151
SD-51002,493
SD-22005,137
SD-23002,772
SD-53002,117
SD-22006,457
SD-61008,1387
SD-07002,357
SD-11001,340
SD-39002,1147
SD-45005,242
SD-52004,283
SD-41004,1211
SD-44002,210
SD-42001,370
SD-49006,945
SD-60003,199
SD-15001,135
SD-15002,442
SD-33002,288
SD-29004,457
SD-17002,2722
SD-43002,259
SD-17003,273
SD-51003,291
SD-09002,289
SD-56007,336
SD-23003,116
SD-60004,491
SD-33003,562
SD-01001,283
SD-51004,12747
SD-56004,555
SD-54004,231
SD-39004,189
SD-04003,297
SD-65001,1797
SD-49005,25123
SD-05005,739
SD-40002,2423
SD-46001,3058
SD-54006,184
SD-20003,362
SD-66001,2047
SD-33005,184
SD-13001,1436
SD-60006,418
SD-11004,905
SD-15003,188
SD-51005,283
SD-06005,314
SD-14004,3803
SD-18003,183
SD-14005,271
SD-18005,551
SD-36002,422
SD-05006,423
SD-01003,129
SD-47001,419
SD-59002,814
SD-55004,285
SD-35002,328
SD-11005,512
SD-13003,293
SD-34002,222
SD-62006,571
SD-21003,276
SD-12003,323
SD-58003,231
SD-20001,362
SD-32002,2762
SD-43001,293
SD-49007,1412
SD-63003,3036
SD-38002,327
SD-38003,187
SD-56002,165
SD-02002,2906
SD-02003,241
SD-02006,359
SD-49004,460
SD-53001,211
SD-40001,736
TX-123905,5029
TX-054902,239
TX-054903,453
TX-180901,164
TX-156905,258
TX-242903,387
TX-220919,8471
TX-220904,5354
TX-220907,34078
TX-220920,6972
TX-061911,29248
TX-015901,4762
TX-090905,44
TX-169906,154
TX-039904,167
TX-220917,3710
TX-220916,22947
TX-220910,3447
TX-184907,7857
TX-220914,2855
TX-139911,2450
TX-116909,720
TX-074903,1899
TX-074917,506
TX-074907,617
TX-079910,3641
TX-020908,21237
TX-101903,40329
TX-146902,5776
TX-101912,189934
TX-101915,53712
TX-101924,10990
TX-101921,21426
TX-015913,968
TX-015917,5965
TX-015905,8177
TX-166905,617
TX-005901,493
TX-005904,527
TX-169901,1644
TX-177905,226
TX-039905,131
TX-243901,3211
TX-183901,686
TX-201910,1476
TX-084910,40693
TX-101902,60074
TX-101905,9520
TX-101913,48758
TX-101917,48726
TX-230908,761
TX-230905,1009
TX-033902,657
TX-140901,120
TX-043905,66916
TX-061908,2801
TX-061907,3538
TX-043903,3897
TX-110902,2691
TX-002901,4198
TX-079901,42461
TX-079906,3553
TX-079907,79660
TX-168902,140
TX-228904,147
TX-098904,743
TX-211901,172
TX-167904,121
TX-097902,817
TX-191901,11075
TX-071901,10365
TX-071903,1931
TX-071905,36183
TX-225906,1061
TX-072904,242
TX-020906,1898
TX-020902,6925
TX-020907,2927
TX-199901,18384
TX-095904,272
TX-095902,100
TX-095903,585
TX-017901,225
TX-138902,209
TX-117907,92
TX-022902,59
TX-112909,248
TX-250907,1539
TX-119901,259
TX-041901,235
TX-121906,371
TX-062901,1937
TX-084911,6213
TX-084908,1841
TX-111903,878
TX-025908,188
TX-167901,537
TX-140905,597
TX-203902,383
TX-130902,1104
TX-133904,1240
TX-054901,305
TX-044902,530
TX-048901,215
TX-048903,223
TX-152903,1268
TX-187901,512
TX-187904,836
TX-187906,223
TX-129903,4332
TX-129905,3904
TX-129904,1835
TX-116908,2784
TX-133905,37
TX-133902,202
TX-084902,6486
TX-023902,213
TX-085902,741
TX-058902,139
TX-153905,626
TX-153907,125
TX-153903,288
TX-192901,801
TX-155901,1132
TX-230903,825
TX-110905,546
TX-083901,505
TX-153904,595
TX-101914,92667
TX-237904,8834
TX-216901,351
TX-019902,920
TX-019910,220
TX-019903,476
TX-019906,1059
TX-161919,588
TX-161908,588
TX-161912,656
TX-161922,2401
TX-117903,688
TX-019911,527
TX-070907,634
TX-070909,247
TX-074905,230
TX-074911,319
TX-152901,25247
TX-095901,835
TX-034901,1879
TX-034902,123
TX-034909,256
TX-034905,660
TX-172905,833
TX-034907,954
TX-139909,3856
TX-110906,442
TX-110907,592
TX-110908,234
TX-152902,757
TX-027903,3304
TX-116903,1517
TX-061912,3900
TX-244905,243
TX-148902,184
TX-161925,263
TX-194905,490
TX-101907,118010
TX-101920,33649
TX-101919,34114
TX-101925,3717
TX-101910,21392
TX-115901,377
TX-115903,61
TX-005902,1137
TX-067904,253
TX-067903,1057
TX-072909,282
TX-067908,183
TX-185901,425
TX-096904,432
TX-180903,120
TX-063903,225
TX-063906,77
TX-015911,10617
TX-015916,25871
TX-015906,1462
TX-015912,13747
TX-062902,131
TX-062904,536
TX-062905,81
TX-062903,1546
TX-163901,2007
TX-185902,606
TX-072908,313
TX-072902,1146
TX-072910,117
TX-025909,1155
TX-025904,142
TX-025902,3443
TX-128902,729
TX-123910,16730
TX-163903,1170
TX-015915,102719
TX-105902,8447
TX-089905,290
TX-099903,462
TX-241906,534
TX-035901,1097
TX-078901,197
TX-231902,318
TX-244901,138
TX-132902,175
TX-229905,362
TX-185903,1063
TX-056901,1770
TX-026901,1932
TX-206903,139
TX-206902,139
TX-206901,684
TX-107908,175
TX-107902,2620
TX-103902,230
TX-175905,458
TX-070908,10990
TX-070911,6499
TX-035902,207
TX-250905,387
TX-112905,431
TX-112901,4361
TX-138903,409
TX-139912,1099
TX-070901,337
TX-070915,1212
TX-070912,10837
TX-070903,6185
TX-070910,1304
TX-169910,185
TX-122902,44
TX-188902,1297
TX-188903,789
TX-010902,2381
TX-010901,246
TX-148901,343
TX-169902,804
TX-071902,50031
TX-071909,47843
TX-195902,144
TX-225907,868
TX-194903,700
TX-172902,1013
TX-225902,5186
TX-252902,220
TX-003905,1669
TX-003903,7164
TX-003902,2768
TX-169909,128
TX-075906,302
TX-075903,687
TX-075901,661
TX-075908,254
TX-075902,1883
TX-011905,356
TX-037901,536
TX-037908,515
TX-168903,255
TX-081906,137
TX-062906,150
TX-235904,135
TX-200906,132
TX-013902,465
TX-098903,107
TX-022903,9
TX-059902,148
TX-180904,232
TX-201904,234
TX-022004,122
TX-238904,137
TX-238902,2197
TX-071906,781
TX-071904,3177
TX-071907,6076
TX-022901,954
TX-086024,22
TX-212902,2886
TX-212901,985
TX-212906,4916
TX-212903,4469
TX-212909,3308
TX-212910,1104
TX-116915,773
TX-043904,2115
TX-043907,23342
TX-043911,7837
TX-043917,1009
TX-043919,4254
TX-043912,24983
TX-199902,8521
TX-043918,4143
TX-043910,48921
TX-020905,11618
TX-020904,737
TX-020901,29188
TX-020910,94
TX-018901,1024
TX-018902,357
TX-018904,665
TX-161920,3010
TX-018903,152
TX-028906,229
TX-201913,623
TX-037904,4909
TX-243902,456
TX-243905,13296
TX-115902,116
TX-052901,1179
TX-040901,353
TX-040902,329
TX-102906,813
TX-102904,19818
TX-102902,5057
TX-230906,1186
TX-102901,130
TX-145901,1052
TX-175903,6096
TX-147903,1864
TX-081904,1216
TX-247904,935
TX-247903,3515
TX-123914,2065
TX-100905,2697
TX-007902,1590
TX-007905,3384
TX-013903,401
TX-043901,21769
TX-043902,5018
TX-091917,1158
TX-074909,814
TX-043908,5654
TX-091908,2285
TX-091910,788
TX-043914,18850
TX-077901,684
TX-077902,407
TX-096905,183
TX-198901,508
TX-073903,926
TX-073904,154
TX-161907,1807
TX-073901,553
TX-105905,2700
TX-169908,151
TX-163904,1772
TX-163908,7823
TX-242906,153
TX-090902,187
TX-090904,3441
TX-033904,334
TX-130901,10763
TX-046902,28511
TX-046901,9745
TX-234903,1042
TX-234905,495
TX-234902,2303
TX-234904,1214
TX-140904,1203
TX-136901,552
TX-007904,1810
TX-232904,194
TX-163902,284
TX-072901,233
TX-229903,1239
TX-186903,335
TX-107901,3099
TX-001903,1194
TX-001904,802
TX-107910,491
TX-001906,310
TX-001908,1414
TX-045903,1286
TX-143901,1172
TX-190903,1754
TX-229906,213
TX-229901,452
TX-069902,248
TX-232903,4071
TX-074904,331
TX-209902,106
TX-126911,2811
TX-213901,1967
TX-111902,467
TX-143906,112
TX-209901,498
TX-215901,1409
TX-244903,1792
TX-211902,575
TX-056902,220
TX-182904,546
TX-184904,1099
TX-219901,270
TX-182901,239
TX-182905,174
TX-223901,1647
TX-220915,7089
TX-227910,11118
TX-227913,11399
TX-227904,25445
TX-003907,1463
TX-003904,1593
TX-003906,323
TX-243903,1895
TX-119902,1083
TX-252903,729
TX-246909,46510
TX-085903,126
TX-099902,202
TX-210904,455
TX-183904,493
TX-183902,2621
TX-156902,1081
TX-093905,222
TX-122901,183
TX-018908,126
TX-018906,142
TX-018907,186
TX-018905,171
TX-120902,711
TX-113905,497
TX-250902,769
TX-250903,1643
TX-161914,13824
TX-091909,1712
TX-049901,3096
TX-049908,54
TX-109901,286
TX-109902,189
TX-109905,447
TX-109908,128
TX-109910,168
TX-186901,251
TX-186902,2187
TX-251901,1557
TX-089903,1045
TX-071908,829
TX-117904,573
TX-147902,1573
TX-081905,552
TX-161918,836
TX-230902,2825
TX-032902,2360
TX-170902,70783
TX-170907,4866
TX-117901,2477
TX-100904,2772
TX-011901,12506
TX-011904,1885
TX-210901,2491
TX-210906,74
TX-039903,473
TX-170906,14046
TX-100907,4195
TX-084901,12360
TX-084903,151
TX-084906,7890
TX-084909,4343
TX-242905,153
TX-158902,1045
TX-158901,3579
TX-158906,1071
TX-197902,206
TX-015907,45255
TX-015904,12174
TX-015910,59007
TX-015908,7872
TX-015914,1627
TX-101906,6717
TX-170908,18344
TX-146904,1317
TX-146907,1893
TX-208903,267
TX-127901,752
TX-221904,1140
TX-127904,819
TX-107904,560
TX-107905,1727
TX-107906,1433
TX-107907,133
TX-254902,491
TX-146903,204
TX-146905,431
TX-174906,835
TX-174911,436
TX-185904,130
TX-208902,2560
TX-012901,644
TX-138904,130
TX-152910,988
TX-152908,1175
TX-152906,7750
TX-152909,1762
TX-035903,250
TX-091903,4868
TX-091905,1283
TX-070905,2716
TX-091906,7767
TX-220906,13772
TX-145911,766
TX-145907,230
TX-145902,691
TX-249906,1298
TX-249903,2058
TX-158904,89
TX-182902,321
TX-114901,3510
TX-114902,1095
TX-030902,1440
TX-127905,101
TX-221901,15253
TX-087901,295
TX-094901,7239
TX-094902,15528
TX-094904,1527
TX-094903,2180
TX-091907,719
TX-249902,1266
TX-249901,821
TX-053001,706
TX-150901,1937
TX-226903,13548
TX-226906,1312
TX-135001,119
TX-177903,152
TX-041902,276
TX-226905,343
TX-009901,1347
TX-128903,208
TX-220905,72783
TX-220901,56167
TX-220918,23196
TX-220902,22637
TX-068901,33340
TX-027904,4063
TX-081902,1662
TX-175902,920
TX-175911,1036
TX-184911,323
TX-182903,3352
TX-184901,722
TX-126902,12865
TX-126903,7243
TX-111901,7954
TX-165902,3140
TX-165901,27842
TX-030903,312
TX-212905,18328
TX-057903,24747
TX-057905,141169
TX-026903,589
TX-026902,533
TX-076903,319
TX-091902,537
TX-091901,963
TX-091913,1489
TX-091914,943
TX-074912,699
TX-061903,1483
TX-175904,546
TX-175910,848
TX-233901,9947
TX-126905,5892
TX-220908,35722
TX-072903,3730
TX-146906,2398
TX-036902,7339
TX-103901,161
TX-034903,1149
TX-147901,295
TX-037907,2055
TX-212904,1087
TX-037909,259
TX-061905,2298
TX-249904,549
TX-249905,3838
TX-100903,1115
TX-229904,1268
TX-100908,552
TX-104907,100
TX-104903,133
TX-127906,604
TX-104901,539
TX-025901,862
TX-187907,4061
TX-187910,1239
TX-187903,262
TX-109912,323
TX-109907,651
TX-250906,823
TX-112907,317
TX-171901,4192
TX-226907,1172
TX-232901,416
TX-193902,361
TX-232902,428
TX-128904,442
TX-089901,2605
TX-061902,49060
TX-061901,32521
TX-061906,1640
TX-160904,211
TX-160905,131
TX-161916,1265
TX-148905,112
TX-034906,414
TX-109903,319
TX-109914,202
TX-109904,2011
TX-109911,1522
TX-143902,304
TX-143905,145
TX-143903,724
TX-173901,166
TX-233903,222
TX-069901,237
TX-083903,3011
TX-047901,1339
TX-097903,623
TX-025905,254
TX-247901,4042
TX-247906,857
TX-059901,3952
TX-180902,370
TX-184908,1750
TX-184903,8255
TX-184909,2085
TX-184902,4120
TX-198902,134
TX-102905,705
TX-102903,825
TX-118902,333
TX-047905,124
TX-014906,43935
TX-073905,755
TX-014902,461
TX-014903,13644
TX-014908,2336
TX-171902,675
TX-218901,675
TX-219903,896
TX-224902,162
TX-224901,158
TX-219905,279
TX-128901,4835
TX-015909,4147
TX-007906,1837
TX-204904,1958
TX-154903,352
TX-061910,4966
TX-061914,8351
TX-234909,398
TX-112906,516
TX-127903,418
TX-208901,243
TX-177901,6191
TX-076904,262
TX-177902,1942
TX-248901,1374
TX-144902,1084
TX-047903,141
TX-161910,722
TX-014910,1690
TX-014905,634
TX-050910,8043
TX-092903,8274
TX-049906,542
TX-049907,486
TX-169911,345
TX-161923,720
TX-161924,146
TX-161903,8739
TX-057904,6920
TX-057913,7032
TX-057914,38356
TX-116916,547
TX-116905,5422
TX-030906,474
TX-221912,5419
TX-174901,404
TX-203901,657
TX-093901,934
TX-093903,587
TX-109913,338
TX-106901,829
TX-101908,12263
TX-095905,4662
TX-234906,2407
TX-126908,2319
TX-145906,637
TX-161921,2332
TX-161909,1503
TX-161906,3017
TX-246914,285
TX-227912,1798
TX-227907,9255
TX-227909,7733
TX-246913,42415
TX-227901,73384
TX-028902,6443
TX-246905,549
TX-246908,7869
TX-246906,9620
TX-246911,3138
TX-246904,13155
TX-080901,1571
TX-112910,227
TX-055901,366
TX-144901,1930
TX-200904,561
TX-092907,2071
TX-092901,1755
TX-014909,8615
TX-092904,4611
TX-086901,3094
TX-198905,751
TX-198903,1353
TX-198906,600
TX-050904,197
TX-194902,335
TX-194904,522
TX-129902,16211
TX-129910,1066
TX-129901,6003
TX-129906,5208
TX-234907,2765
TX-237905,2637
TX-237902,1638
TX-042903,270
TX-042901,794
TX-057922,13361
TX-057909,52767
TX-057912,31767
TX-086902,584
TX-133903,4878
TX-133901,549
TX-195901,2776
TX-114904,753
TX-057916,37260
TX-057906,6322
TX-057910,27019
TX-082902,899
TX-007901,433
TX-082903,2026
TX-057911,6551
TX-057907,11915
TX-200902,512
TX-226901,613
TX-228903,1200
TX-236901,1065
TX-170904,8793
TX-204901,1622
TX-239903,532
TX-252901,2261
TX-226908,258
TX-065901,434
TX-065902,117
TX-090903,198
TX-126901,3750
TX-008902,2908
TX-157901,709
TX-174908,1104
TX-174909,323
TX-174904,5943
TX-220912,16729
TX-235901,890
TX-235902,13246
TX-126904,1403
TX-126906,1053
TX-126907,945
TX-230901,671
TX-230904,254
TX-140908,474
TX-207901,476
TX-083902,157
TX-223904,286
TX-119903,319
TX-223902,253
TX-241902,974
TX-168901,949
TX-042905,145
TX-200901,817
TX-221911,1624
TX-254901,1799
TX-028903,1416
TX-241904,1844
TX-241901,1146
TX-241903,3349
TX-221905,131
TX-141902,276
TX-167902,193
TX-025906,227
TX-242902,360
TX-019905,1154
TX-019901,828
TX-019908,2003
TX-019914,93
TX-140907,310
TX-110901,170
TX-146901,11567
TX-170903,9748
TX-019907,7180
TX-166907,110
TX-166901,1554
TX-166902,154
TX-166903,403
TX-166904,1488
TX-250904,1216
TX-006902,328
TX-152907,11165
TX-174902,547
TX-201903,150
TX-201914,1048
TX-014901,1835
TX-246902,1167
TX-014907,880
TX-246907,3360
TX-246912,819
TX-120905,1188
TX-120901,1573
TX-134901,619
TX-092906,1563
TX-092908,1440
TX-164901,288
TX-188904,1511
TX-243906,1133
TX-039902,994
TX-236902,11313
TX-248902,431
TX-019913,77
TX-019912,2310
TX-019909,484
TX-030901,377
TX-057919,2205
TX-050901,203
TX-231901,505
TX-021901,14464
TX-021902,16036
TX-093904,2977
TX-217901,199
TX-058905,254
TX-058906,1588
